Citation,Frequency,Sample_Context_Type,Sample_Context_ID,Sample_Context_Label
Hebrew Bible (Masoretic Text),23,node,work_genesis_u1v2w3x4,Genesis (Bereshit)
"Aulus Gellius, Noctes Atticae VII.2.1-15",12,node,reformulation_aulus_gellius_reform_01ef18e6,Aulus Gellius's reformulation
"Cicero, De Fato 28-33",12,node,argument_cafma_futility_of_effort_8c3d5f21,CAFMA Argument I: Futility of Effort and Labor
Septuagint (LXX),12,node,work_genesis_u1v2w3x4,Genesis (Bereshit)
"Aulus Gellius, Noctes Atticae XIV.1.1-34 (Favorinus)",8,node,argument_anti_astrology_impossibility_observation_3h8i0k76,Anti-Astrological Argument I: Impossibility of Exact Observation
Dead Sea Scrolls fragments,8,node,work_genesis_u1v2w3x4,Genesis (Bereshit)
"Aristotle, Nicomachean Ethics III.1-5",6,node,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin)
"Augustine, De Gratia et Libero Arbitrio XVII.33",6,node,concept_gratia_praeveniens,Gratia Praeveniens (Prevenient Grace)
"Augustine, Enchiridion IX.32",6,node,concept_gratia_praeveniens,Gratia Praeveniens (Prevenient Grace)
Augustine of Hippo,6,node,person_john_scotus_eriugena_a1b2c3d4,John Scotus Eriugena
"Origen, De Principiis III.1",6,node,debate_compatibility_question_ea55e118,The Compatibility Question
"Eusebius, Praeparatio Evangelica VI.8",4,node,argument_the_lazy_argument_argos_logos_702a77ed,The Lazy Argument (Argos Logos)
"Lucretius, De Rerum Natura II.251-293",4,node,reformulation_epicureans_reform_9b771ca1,Epicureans's reformulation
"Lucretius, De Rerum Natura II.216-293",4,node,argument_the_epicurean_swerve_argument_clinamen_454148a8,The Epicurean Swerve Argument (Clinamen)
"Plotinus, Enneads III.1 (On Fate)",4,node,argument_plotinus_freedom_argument_7c561972,Plotinus' Freedom Argument
"Augustine, De gratia Christi et de peccato originali (418)",4,node,person_cornelius_jansen_36155fa3,Cornelius Jansen
"Augustine, De correptione et gratia (427)",4,node,person_cornelius_jansen_36155fa3,Cornelius Jansen
"Firmicus Maternus, Mathesis",4,node,argument_cafma_framework_5a7b9e12,CAFMA - Carneades' Anti-Fatalist Moral Argumentation
"Plutarch, De Stoicorum Repugnantiis 1055e-1057a",4,node,argument_cafma_futility_of_effort_8c3d5f21,CAFMA Argument I: Futility of Effort and Labor
"Vettius Valens, Anthologiae",4,node,concept_genethlialogia_9x4y6a32,Natal Astrology (Genethlialogia)
"Pseudo-Plutarch, De Fato 568E-575A",4,node,concept_conditional_fate_9a5c8b4d,conditional fate
1QH (Hodayot - thanksgiving for election),4,node,concept_two_spirits_doctrine_s7t8u9v0,Two Spirits Doctrine (Qumran)
"Boethius, Consolation of Philosophy V",4,node,concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium)
"John of Damascus, De Fide Orthodoxa",4,node,concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium)
"Aristotle, De Interpretatione 9",4,node,debate_divine_foreknowledge_future_contingents_a7b8c9d0,Divine Foreknowledge and Future Contingents Debate
"Boethius, Consolation of Philosophy V.6",4,node,debate_divine_foreknowledge_future_contingents_a7b8c9d0,Divine Foreknowledge and Future Contingents Debate
"Aristotle, Nicomachean Ethics (complete text, various manuscripts)",4,node,person_aristotle_384_322bce_c2d4f6a8,Aristotle of Stagira
"Aristotle, Nicomachean Ethics II.6, VI.2 - virtue as deliberative state",4,node,concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,Prohairesis (Προαίρεσις) - Deliberate Choice
"Epicurus, Letter to Menoeceus §§133-134 - human freedom and responsibility",4,node,person_epicurus_341_270bce_j0k1l2m3,Epicurus of Samos
"Epicurus, Letter to Herodotus §§43-44 (atomic motion and causes)",4,node,person_epicurus_341_270bce_j0k1l2m3,Epicurus of Samos
"Epicurus, Letter to Herodotus §§61-62 (rectilinear downward motion of atoms)",4,node,person_epicurus_341_270bce_j0k1l2m3,Epicurus of Samos
"Plato, Laws (complete text)",4,node,person_plato_428_348bce_a1b2c3d4,Plato of Athens
