decision	canonical	passages	author	title	reason
keep	self	1	Alcinous	Handbook of Platonism (Didaskalikos)	free-will-relevant (cited)
keep	self	39	Alexander of Aphrodisias	De Fato	free-will-relevant (cited)
merge	tlg0732_tlg014_grc	39	Alexander of Aphrodisias	De Fato	dup of canonical (39 pass.)
merge	tlg0732_tlg014_grc	2	Alexander of Aphrodisias	De Fato	dup of canonical (39 pass.)
merge	tlg0732_tlg014_grc	2	Alexander of Aphrodisias	De Fato	dup of canonical (39 pass.)
merge	tlg0732_tlg014_grc	1	Alexander of Aphrodisias	Alexander of Aphrodisias, De Fato	dup of canonical (39 pass.)
cut	self	88	Anonymous	Épître de Barnabé	typology/covenant, not free will
cut	sc172_epistula_barnabae_grc	87	Anonymous	Épître de Barnabé	dup of canonical (88 pass.)
cut	self	27	Anonymous	Martyrium Polycarpi	liturgical/martyrdom title
cut	self	2	Apollinaris of Hierapolis	Apollinaris, Peri Pascha (fr.)	martyrdom/paschal author, out of scope
cut	sc123_apollinaris_peri_pascha_eng	2	Apollinaris of Hierapolis	Peri Pascha	dup of canonical (2 pass.)
keep	self	27	Aristides of Athens	Apologie, Texte grec	free-will-relevant (cited)
merge	sc470_aristides_apologia_grc	24	Aristides of Athens	Apologie, Texte grec	dup of canonical (27 pass.)
keep	self	142	Aristotle	τὰ Μετὰ τὰ Φυσικά	free-will-relevant (cited)
merge	oga_tlg0086_tlg025_perseus_grc2_grc	41	Aristotle	Ἠθικὰ Εὐδήμεια	dup of canonical (142 pass.)
merge	oga_tlg0086_tlg025_perseus_grc2_grc	0	Aristotle of Stagira	ἐπʼ αὐτῷ καὶ τὸ πράττειν καὶ μή.	dup of canonical (142 pass.)
keep	self	30	Aristotle	De anima	free-will-relevant (cited)
keep	self	69	Aristotle	De Generatione et Corruptione	free-will-relevant (cited)
keep	self	29	Aristotle	De interpretatione	free-will-relevant (cited)
keep	self	434	Aristotle	Magna Moralia	free-will-relevant (cited)
keep	self	116	Aristotle	Ethica Nicomachea	free-will-relevant (cited)
merge	oga_tlg0086_tlg010_perseus_grc2_grc	18	Aristotle	Nicomachean Ethics (Ἠθικὰ Νικομάχεια)	dup of canonical (116 pass.)
merge	oga_tlg0086_tlg010_perseus_grc2_grc	1	Aristotle of Stagira	Nicomachean Ethics III.1	dup of canonical (116 pass.)
keep	self	71	Aristotle	Physica	free-will-relevant (cited)
keep	self	6	Aspasius	In Ethica Nicomachea Commentaria	free-will-relevant (cited)
keep	self	48	Athenagoras of Athens	Supplique au sujet des chrétiens (éd. Pouderon)	free-will-relevant (cited)
merge	sc379_athenagoras_legatio_eng	38	Athenagoras of Athens	Supplique au sujet des chrétiens (éd. Pouderon)	dup of canonical (48 pass.)
keep	self	2	Augustine of Hippo	Confessions VIII	free-will-relevant (cited)
keep	self	6	Augustine	Augustine, De Civitate Dei (The City of God)	free-will-relevant (cited)
keep	self	21	Augustine	De Correptione et Gratia	free-will-relevant (cited)
keep	self	25	Augustine	De Gratia et Libero Arbitrio (Augustine)	free-will-relevant (cited)
keep	self	171	Augustine	De Libero Arbitrio	free-will-relevant (cited)
merge	urn_cts_latinlit_stoa0040_stoa003_lat	170	Augustine	De Libero Arbitrio Voluntatis (On Free Choice of the Will)	dup of canonical (171 pass.)
merge	urn_cts_latinlit_stoa0040_stoa003_lat	158	Augustine	De Libero Arbitrio	dup of canonical (171 pass.)
merge	urn_cts_latinlit_stoa0040_stoa003_lat	25	Augustine	De Libero Arbitrio	dup of canonical (171 pass.)
keep	self	39	Augustine	De Natura Boni	free-will-relevant (cited)
keep	self	26	Augustine	Libellus Adversus Fulgentium Donatistam	free-will-relevant (cited)
keep	self	16	Aulus Gellius	Noctes Atticae VII.2 (De Fato et Chrysippo)	free-will-relevant (cited)
keep	self	129	Boethius	De consolatione philosophiae (Consolation of Philosophy)	free-will-relevant (cited)
merge	urn_cts_latinlit_phi2089_phi002_eng	129	Boethius d. 524	De consolatione philosophiae	dup of canonical (129 pass.)
keep	self	1	Boethius (Anicius Manlius Severinus Boethius)	simultaneous and perfect possession o...	free-will-relevant (cited)
keep	self	5	Calcidius	Commentarius in Platonis Timaeum	free-will-relevant (cited)
keep	self	88	Chrysippus of Soli	Stoicorum Veterum Fragmenta II — Fragmenta Logica et Physica	free-will-relevant (cited)
keep	self	100	Cicero	De Divinatione	free-will-relevant (cited)
keep	self	48	Cicero	De Fato (On Fate)	free-will-relevant (cited)
merge	urn_cts_latinlit_phi0474_phi049_eng	48	Marcus Tullius Cicero	De Fato	dup of canonical (48 pass.)
merge	urn_cts_latinlit_phi0474_phi049_eng	2	Cicero	Cicero, De Fato	dup of canonical (48 pass.)
keep	self	22	Cicero	De Natura Deorum	free-will-relevant (cited)
keep	self	51	Cleanthes of Assos	Cleanthes, Hymn to Zeus (Ὕμνος εἰς Δία)	free-will-relevant (cited)
cut	self	84	Clement of Rome	Épître aux Corinthiens	church order, not free will
cut	sc167_clemens_epistula_ad_corinthios_eng	83	Clement of Rome	Épître aux Corinthiens	dup of canonical (84 pass.)
keep	self	51	Clement of Alexandria	Protrepticus	free-will-relevant (cited)
keep	self	6	Clement of Alexandria	Stromateis	free-will-relevant (cited)
cut	self	6	Didache	Didache - Complete Works	liturgical/martyrdom title
keep	self	1	Diogenes Laertius	Noctes Atticae	free-will-relevant (cited)
keep	self	1203	Diogenes Laertius	Vitae Philosophorum (Lives of Eminent Philosophers)	free-will-relevant (cited)
keep	self	235	Epictetus	Discourses	free-will-relevant (cited)
merge	urn_cts_greeklit_tlg0557_grc	187	Epictetus	Discourses (Διατριβαί) - Epictetus	dup of canonical (235 pass.)
