status	target_lvl	existing	reff_at_target	overlap	would_add	canonical_id	cts_urn
clean	1	6	6	6	0	aspasius_in_en_cag_grc	urn:cts:greekLit:tlg0615.tlg001.1st1K-grc1
no_reffs	1	1	0	0	0	cpl_evodius_de_fide_lat	urn:cts:latinLit:lat3380.005.perseus-lat1
clean	2	30	30	30	0	first1k_tlg0086_tlg002_1st1k_grc1_grc	urn:cts:greekLit:tlg0086.tlg002.1st1K-grc1
granularity_only	2	29	0	0	0	first1k_tlg0086_tlg017_1st1k_grc1_grc	urn:cts:greekLit:tlg0086.tlg017.1st1K-grc1
clean	3	434	434	434	0	first1k_tlg0086_tlg022_1st1k_grc1_grc	urn:cts:greekLit:tlg0086.tlg022.1st1K-grc1
clean	2	142	142	142	0	oga_tlg0086_tlg025_perseus_grc2_grc	urn:cts:greekLit:tlg0086.tlg025.perseus-grc2
clean	2	71	71	71	0	oga_tlg0086_tlg031_1st1k_grc1_grc	urn:cts:greekLit:tlg0086.tlg031.1st1K-grc1
no_reffs	3	7	0	0	0	phi1471_phi001_lat	urn:cts:latinLit:phi1471.phi001
clean	1	39	39	39	0	tlg0732_tlg014_grc	urn:cts:greekLit:tlg0732.tlg014.1st1K-grc1
clean	1	88	1232	88	1144	tlg1264_tlg001_1st1k_grc1_grc	urn:cts:greekLit:tlg1264.tlg001.1st1K-grc1
granularity_only	2	51	0	0	0	tlg1269_tlg002_1st1k_grc1_grc	urn:cts:greekLit:tlg1269.tlg002.1st1K-grc1
clean	3	222	4282	207	4075	tlg2018_tlg001_1st1k_grc1_grc	urn:cts:greekLit:tlg2018.tlg001.1st1K-grc1
clean	3	1203	1211	1203	8	urn_cts_greeklit_tlg0004_tlg001_grc	urn:cts:greekLit:tlg0004.tlg001.perseus-grc2
no_reffs	2	1	0	0	0	urn_cts_greeklit_tlg0007_tlg099_grc	urn:cts:greekLit:tlg9857.tlg062.perseus-grc1
clean	1	6	6	6	0	urn_cts_greeklit_tlg0007_tlg135_grc	urn:cts:greekLit:tlg0007.tlg135.perseus-grc2
clean	1	47	47	47	0	urn_cts_greeklit_tlg0007_tlg136_grc	urn:cts:greekLit:tlg0007.tlg136.perseus-grc2
no_reffs	1	172	0	0	0	urn_cts_greeklit_tlg0018_tlg001_grc	urn:cts:greekLit:tlg0018.tlg001.opp-grc1
clean	1	3	3	3	0	urn_cts_greeklit_tlg0057_tlg010_grc	urn:cts:greekLit:tlg0057.tlg010.1st1K-grc1
format_mismatch	1	261	53	0	0	urn_cts_greeklit_tlg0059_tlg012_grc	urn:cts:greekLit:tlg0059.tlg012.perseus-grc2
clean	2	278	278	278	0	urn_cts_greeklit_tlg0059_tlg030_grc	urn:cts:greekLit:tlg0059.tlg030.perseus-grc2
no_reffs	1	1	0	0	0	urn_cts_greeklit_tlg0059_tlg031_eng	urn:cts:greekLit:tlg0059.tlg031
clean	2	326	327	326	1	urn_cts_greeklit_tlg0059_tlg034_grc	urn:cts:greekLit:tlg0059.tlg034.perseus-grc2
clean	1	69	69	69	0	urn_cts_greeklit_tlg0086_tlg003_grc	urn:cts:greekLit:tlg0086.tlg003.1st1K-grc1
clean	1	9	9	9	0	urn_cts_greeklit_tlg0093_tlg001_grc	urn:cts:greekLit:tlg0093.tlg001.1st1K-grc1
no_reffs	2	534	0	0	0	urn_cts_greeklit_tlg0544_grc	urn:cts:greekLit:tlg0544
clean	3	577	577	577	0	urn_cts_greeklit_tlg0562_tlg001_grc	urn:cts:greekLit:tlg0562.tlg001.perseus-grc2
clean	1	15	15	15	0	urn_cts_greeklit_tlg0645_tlg002_grc	urn:cts:greekLit:tlg0645.tlg002.perseus-grc2
format_mismatch	1	750	142	0	0	urn_cts_greeklit_tlg0645_tlg003_grc	urn:cts:greekLit:tlg0645.tlg003.perseus-grc2
no_reffs	1	1	0	0	0	urn_cts_greeklit_tlg0720_tlg001	urn:cts:greekLit:tlg1398
clean	1	3	42	3	39	urn_cts_greeklit_tlg1766_tlg001_eng	urn:cts:greekLit:tlg1766.tlg001.perseus-grc1
clean	1	42	42	42	0	urn_cts_greeklit_tlg1766_tlg001_grc	urn:cts:greekLit:tlg1766.tlg001.perseus-grc1
no_reffs	1	1	0	0	0	urn_cts_greeklit_tlg2000_tlg001_grc	urn:cts:greekLit:tlg2000.tlg001.perseus-grc1
clean	1	35	35	35	0	urn_cts_greeklit_tlg2034_tlg009_grc	urn:cts:greekLit:tlg2034.tlg005.1st1K-grc1
no_reffs	1	51	0	0	0	urn_cts_greeklit_tlg2042_tlg007_grc	urn:cts:greekLit:tlg2042.tlg007
no_reffs	2	1	0	0	0	urn_cts_greeklit_tlg2959_tlg001_grc	urn:cts:greekLit:tlg0338.tlg307.perseus-grc1
clean	1	22	23	22	1	urn_cts_latinlit_phi0474_phi041_lat	urn:cts:latinLit:phi0474.phi041.perseus-lat1
clean	1	100	100	100	0	urn_cts_latinlit_phi0474_phi042_lat	urn:cts:latinLit:phi0474.phi042.perseus-lat1
no_reffs	1	48	0	0	0	urn_cts_latinlit_phi0474_phi049_eng	urn:cts:latinLit:phi0474.phi056
clean	2	300	7420	300	7120	urn_cts_latinlit_phi0550_phi001_lat	urn:cts:latinLit:phi0550.phi001.perseus-lat1
