edge_id,translation_id,original_id,translation_label,original_label,p_identical,original_excerpt,translation_excerpt
134de45c-6681-44d3-bd10-a207e85b1645,passage_alexander_de_fato_14_en,passage_alexander_de_fato_14,De Fato 14 (ἐφ' ἡμῖν = αὐτεξούσιον) (English),De Fato 14 (ἐφ' ἡμῖν = αὐτεξούσιον),0.88,"**Reference:** De Fato 14 **Author:** Alexander of Aphrodisias **Work:** De Fato **Edition:** Bruns (CAG Suppl. II.2)  **Original Greek:** ἔνεστι δ' ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσι","One can see whether, in saying these things, they preserve the common preconceptions of all men concerning what is up to us. For those who ask them how it is possible, when everyth"
992bcdab-b8e0-4620-9a42-45284249a4ae,passage_justin_dial_102_en,passage_justin_dial_102,"Justin, Dialogue 102.4: God Made Angels and Humans Self-Determining (English)","Justin, Dialogue 102.4: God Made Angels and Humans Self-Determining",0.83,"Justin's key statement on divine creation of self-determining beings, explaining how God made both angels and humans with αὐτεξούσιον (self-determination) for the purpose of righte","Justin's key statement on divine creation of self-determining beings, explaining how God made both angels and humans with (self-determination) for the purpose of righteous action. "
b74ad94b-3c66-43fb-940a-d04a9f953947,passage_epict_23_en,passage_epict_23,"Epictetus, Discourses: Providence and the Works of Human Nature (English)","Epictetus, Discourses: Providence and the Works of Human Nature",0.81,Greek: • τὰ σύμβολα τοῦ θεοῦ - the signs/marks of god • Ταῦτα μόνα ἐστὶν ἔργα ἐφ' ἡμῶν τῆς προνοίας - These alone are works of providence in our case • σῴζειν τὰ σύμβολα τοῦ θεοῦ -,"Key phrases: the signs/marks of god; These alone are works of providence in our case; to preserve god's marks; not to confuse the distinguished kinds.  Epictetus discusses the ""sig"
f102d48d-af04-4610-9d88-ee8ab789ce48,passage_epict_151_en,passage_epict_151,"Epictetus, Discourses IV.6: Zeus's Gift of Dogmata - What He Willed Each to Have (English)","Epictetus, Discourses IV.6: Zeus's Gift of Dogmata - What He Willed Each to Have",0.8,"Greek: τὰ δόγματα ὑπεξαιροῦνται / ἃ καὶ ὁ Ζεὺς ἐξαίρετα ἑκάστου εἶναι ἠθέλησεν (ta dogmata hypexairountai / ha kai ho Zeus exaireta hekastou einai ēthelēsen) ""Dogmata are excepted ","(ta dogmata hypexairountai / ha kai ho Zeus exaireta hekastou einai ēthelēsen) ""Dogmata are excepted - which Zeus willed to be each one's special prerogative""  1. DIVINE GIFT DOCTR"
f045f9e0-cea1-45b2-8a61-4d2bd76ee63a,passage_epict_34_en,passage_epict_34,"Epictetus, Discourses I.26: True vs False Philosophy (English)","Epictetus, Discourses I.26: True vs False Philosophy",0.8,Greek: • εἰ δέ τις μόνον ἐπιδείκνυσθαι θέλων - if someone wanting only to show off • ἐν συμποσίῳ ὅτι οἶδεν τοὺς ὑποθετικούς - at a banquet that he knows hypothetical [syllogisms] •,Key phrases: if someone wanting only to show off; at a banquet that he knows hypothetical [syllogisms]; for THERE the great materials truly are; the riches here seem playthings the
32676f54-729a-4a83-9502-e60f65e491dc,passage_ma_med_9_7_en,passage_ma_med_9_7,"Marcus Aurelius, Meditations 9.7: Four Imperatives of Self-Mastery (English)","Marcus Aurelius, Meditations 9.7: Four Imperatives of Self-Mastery",0.79,"Marcus lists four imperatives for controlling the hegemonikon: wipe out impression (ἐξαλεῖψαι φαντασίαν), stop impulse (στῆσαι ὁρμήν), extinguish desire (σβέσαι ὄρεξιν), and keep t","Marcus lists four imperatives for controlling the hegemonikon: wipe out impression (ἐξαλεῖψαι φαντασίαν), stop impulse (στῆσαι ὁρμήν), extinguish desire (σβέσαι ὄρεξιν), and keep t"
fd2c222d-9d57-4bf0-a36b-3ed66f102b2f,passage_epict_13_en,passage_epict_13,"Epictetus, Discourses I.9: Cosmopolitanism - Citizen of the Cosmos (English)","Epictetus, Discourses I.9: Cosmopolitanism - Citizen of the Cosmos",0.78,Greek: • τὸ τοῦ Σωκράτους... μηδέποτε πρὸς τὸν πυθόμενον ποδαπός ἐστιν εἰπεῖν ὅτι Ἀθηναῖος ἢ Κορίνθιος - Socrates's [example]... never to say to one asking where he is from that [h,Socrates's [example]... never to say to one asking where he is from that [he is] Athenian or Corinthian you say you are Athenian into which your body was thrown at birth from the m
061016c9-ff79-4118-8608-20d07157f02b,passage_epict_163_en,passage_epict_163,"Epictetus, Discourses IV.13: Warning Against Subordinating Prohairesis (English)","Epictetus, Discourses IV.13: Warning Against Subordinating Prohairesis",0.78,"Greek: περὶ τὰ ἀπροαίρετα ἐσπουδακότα καὶ τούτοις ὑποτεταχότα τὴν αὑτοῦ προαίρεσιν (peri ta aproaireta espoudakota kai toutois hypotetagota tēn autou prohairesin) ""Zealous about no","(peri ta aproaireta espoudakota kai toutois hypotetagota tēn autou prohairesin) ""Zealous about non-prohairetic things and having subordinated their own prohairesis to these""  1. Wa"
059dae84-6fe5-4840-a302-f797a8f168d7,passage_meth_dla_16_en,passage_meth_dla_16,"Methodius, De Libero Arbitrio 16: The Matter Hypothesis (Opponent View) (English)","Methodius, De Libero Arbitrio 16: The Matter Hypothesis (Opponent View)",0.78,"ΑΓΛΑΟΦΩΝ presents the Gnostic/Middle Platonist view that God created from pre-existing matter (ὕλη), and that evil derives from the unreformed portions of matter. This is the posit","presents the Gnostic/Middle Platonist view that God created from pre-existing matter (ὕλη), and that evil derives from the unreformed portions of matter. This is the position Metho"
caa2c354-7802-4ab4-8628-162964afb5a0,passage_arist_en_3_7_en,passage_arist_en_3_7,"Aristotle, EN III.7: The Courageous Person (English)","Aristotle, EN III.7: The Courageous Person",0.77,"ARISTOTLE ON THE CHARACTERISTICS OF THE COURAGEOUS PERSON  Greek: τὸ δὲ φοβερὸν οὐ πᾶσι μὲν τὸ αὐτό, λέγομεν δέ τι καὶ ὑπὲρ ἄνθρωπον. τοῦτο μὲν οὖν παντὶ φοβερὸν τῷ γε νοῦν ἔχοντι·","ARISTOTLE ON THE CHARACTERISTICS OF THE COURAGEOUS PERSON   What is fearful is not the same for everyone, but we speak of something that is beyond human endurance. This, then, is f"
