edge_id,translation_id,original_id,translation_label,original_label,p_same_content,coverage_choice,original_excerpt,translation_excerpt
0e5ef4cf-f770-457e-9bed-28d8e949630b,sc123_melito_peri_pascha_chap29_en,sc123_melito_peri_pascha_chap29,"Melito, PP 29 (English)","Melito, PP 29",0.01,not_translation,"Ἦν δὲ θεάσασθαι φοβερὸν θέαμα, τῶν Αἰγυπτίων μη-τέρας λυσικόμους, πατέρας λυσίφρονας, δεινὸν ἀνακω-κύοντας τῇ Αἰγυπτιακῇ φωνῇ · « Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτ","For instead of the lamb there was a Son, and instead of the sheep a Man, and in the Man, Christ, who has encompassed all things."
bd0b8904-4d70-4815-80fa-efd8f7cd2e30,sc123_melito_peri_pascha_chap34_en,sc123_melito_peri_pascha_chap34,"Melito, PP 34 (English)","Melito, PP 34",0.01,not_translation,"Τί [τοῦτο τὸ και]νὸν μυστήριον, [Αἴγυπ]τον μὲ[ν πατα]χθῆναι εἰς ἀπώλ[ειαν], [τὸν] δὲ Ἰ[σραὴλ φυλα]χθῆναι εἰς σωτη[ρίαν] ; [Ἀκούσατε τὴν δύ]ναμιν τοῦ μυσ[τηρίου].","This is Jesus the Christ, to whom be glory forever and ever. Amen."
170ae627-1252-44cf-841d-5b2e811ee7f8,sc123_melito_peri_pascha_chap48_en,sc123_melito_peri_pascha_chap48,"Melito, PP 48 (English)","Melito, PP 48",0.01,not_translation,"Ὁ δὲ ἄνθρωπος φύσει δεκτικὸς ὢν ἀγαθοῦ καὶ πονη-ροῦ, ὡσεὶ βῶλος γῆς ἑκατέρωθεν σπερμάτων, ἐδέξατο τὸν ἐχθρὸν καὶ λίχνον σύμβουλον, καὶ προσαψάμενος τοῦ ξύ-λου παρέβη τὴν ἐντολὴν κα","The narrow inheritance was precious, but now it is worthless because of the breadth of grace (charis). For not in one place alone, nor in a narrow plot, has the glory of God been e"
1e67392d-b5b1-4469-8252-d9822afc5b42,sc123_melito_peri_pascha_chap49_en,sc123_melito_peri_pascha_chap49,"Melito, PP 49 (English)","Melito, PP 49",0.01,not_translation,"Τούτου δὲ πολυχόου καὶ πολυχρονίου γενομένου, διὰ τῆς τοῦ ξύλου γεύσεως καὶ εἰς γῆν χωρήσαντος, κατε-λείφθη ὑπ' αὐτοῦ κληρονομία τοῖς τέκνοις αὐτοῦ. Κατέλιπεν γὰρ τοῖς τέκνοις κληρ","And there the almighty God has made his dwelling, through Christ Jesus, to whom be glory forever and ever. Amen."
bdd00630-021f-4bd9-a385-83ed42408f09,sc123_melito_peri_pascha_chap52_en,sc123_melito_peri_pascha_chap52,"Melito, PP 52 (English)","Melito, PP 52",0.01,not_translation,"Πάντες οὖν οἱ μὲν ἀνθρω[ποκ]τόνοι, οἱ δὲ ἀδελφοκτό-νοι, οἱ δὲ πατροκτόνοι, οἱ δὲ τεκνο[κτόνοι] ἐπὶ τῆς γῆς ἐγενήθησαν. Τὸ δ[ὲ φοβερώτε]ρον καὶ καινότερον [ηὑρίσκετο. Μή]τηρ τις ἥπτ","God, having made the heavens and the earth and everything in them in the beginning, fashioned humanity from the earth and breathed into that form his own breath. He set him in para"
ca11cfec-b7df-463d-8212-aa1b39db2bde,sc123_melito_peri_pascha_chap50_en,sc123_melito_peri_pascha_chap50,"Melito, PP 50 (English)","Melito, PP 50",0.01,not_translation,Καινὴ δὲ καὶ φοβερὰ ἡ τῶν ἀνθρώπων ἐπὶ τῆς γῆς ἐ-γίνετο ἀπωλεια. Τάδε γὰρ συνέβαινεν αὐτοῖς · ἀνηρπάζον-το ὑπὸ τῆς τυραννικῆς ἁμαρτίας καὶ ἤγοντο εἰς τοὺς χώρους τῶν ἐπιθυμιῶν ἐν ο,Now you have already heard the account of the type (typos) and its correspondence. Hear also the construction of the mystery (mysterion). What is the Passover (pascha)? Its name is
603d663c-80c6-4a0f-ba74-4a1c214ef6a3,sc123_melito_peri_pascha_chap53_en,sc123_melito_peri_pascha_chap53,"Melito, PP 53 (English)","Melito, PP 53",0.01,not_translation,"Οὐκέτι [προσλαλῶ. Π]ολλὰ δὲ καὶ ἕτερα ξένα καὶ φ[οβε]-[ρώτερα καὶ ἀσελγέστερα ἐ]ν τοῖς ἀνθρώποις ηὑρίσκετο. Πα[τὴρ ἐπὶ π]αιδὸς κοιτὴν, καὶ υἱὸς ἐπὶ μητρὸς, καὶ ἀδελφὸ[ς ἐπὶ ἀ]δελφῆ","And he gave him a commandment (entole) through a law: eat of every tree that is in paradise, but of the tree of knowledge of good and evil you shall not eat. For on the day you eat"
db061232-1bf4-424c-ba56-015a14a4f64b,sc123_melito_peri_pascha_chap62_en,sc123_melito_peri_pascha_chap62,"Melito, PP 62 (English)","Melito, PP 62",0.01,not_translation,Ὁ δὲ Δαυὶδ εἶπεν · « Ἵνα τί ἐφρύαξαν ἔθνη καὶ λαοὶ ἐμελέτησαν κενά ; Παρέστησαν οἱ βασιλεῖς τῆς γῆς καὶ οἱ ἄρχοντες συνήχθησαν ἐπὶ τὸ αὐτὸ κατὰ τοῦ κυρίου καὶ κατὰ τοῦ Χριστοῦ αὐτο,"Listen, all families of the nations, and see! An unprecedented murder has occurred in the midst of Jerusalem. And who has been murdered? And who is the murderer? I am ashamed to sa"
f0aa1548-20d3-4bfc-87d3-565c0c1b6cd1,sc123_melito_peri_pascha_chap67_en,sc123_melito_peri_pascha_chap67,"Melito, PP 67 (English)","Melito, PP 67",0.01,not_translation,"Οὗτος γὰρ ὡς ἀμ[νὸς] ἀχθεὶς καὶ ὡς πρόβατον σφαγεί[ς], [ἐλυ]τρώσατο ἡμᾶς ἐκ τῆς τοῦ κόσμο[υ λατρεί]ας ὡς ἐκ γῆς Αἰγύπτου, καὶ ἔλυσεν ἡ[μᾶς] ἐκ τῆς τοῦ διαβόλου δουλείας ὡς ἐκ χε[ιρ","Not the body of the Lord did it darken, but the eyes of humanity. For when the people trembled not, the earth trembled; when the people was not afraid, the heavens were afraid; whe"
f8a525fb-e0c0-40e9-8a68-2bbf655fe50f,sc123_melito_peri_pascha_chap87_en,sc123_melito_peri_pascha_chap87,"Melito, PP 87 (English)","Melito, PP 87",0.01,not_translation,"Ἀχάριστε Ἰσραήλ, δεῦρο, καὶ κρίθητι πρός με περὶ τῆς ἀχαριστίας σου. Πόσου ἀνετιμήσω τὸ ὑπ' αὐτοῦ καθοδηγηθῆναι ; Πόσου ἀνετιμήσω τὴν τῶν πατέρων σου ἀνεύρεσιν ; Πόσου ἀνετιμήσω τὴ","Listen, all families of the nations, and see! An unprecedented murder has occurred in the midst of Jerusalem, in the city of the Law, in the city of the Hebrews, in the city of the"
