edge_id,translation_id,original_id,translation_label,original_label,p_partial,p_same_content,original_excerpt,translation_excerpt
e7da9a95-31d6-4338-8f0d-e40b63ebd3a4,passage_boethius_cons_47_en,passage_boethius_cons_47,"Boethius, Cons. 47: Nature's Laws (Verse) (English)","Boethius, Cons. 47: Nature's Laws (Verse)",1,0.2,"Cadit Hesperias Phoebus in undas, sed secreto tramite rursus currum solitos vertit ad ortus. Repetunt proprios quaeque recursus redituque {redituque} suo singula gaudent nec manet ","Boethius, Consolation of Philosophy, passage 47. A verse: Phoebus sinks into the western waves but by a hidden path turns his chariot back to its accustomed rising. All things seek"
00c9ec3a-48f6-448f-9913-c3274617e559,passage_boethius_cons_49_en,passage_boethius_cons_49,"Boethius, Cons. 49: Avarice Never Satisfied (English)","Boethius, Cons. 49: Avarice Never Satisfied",1,0.17,"Sed hoc modo consolari quidem divitiis indigentia potest, auferri penitus non potest; nam si haec hians semper atque aliquid poscens opibus expletur, maneat necesse est, quae possi","Boethius, Consolation of Philosophy, passage 49. Riches can console want in some fashion but cannot wholly remove it; for if this ever-gaping, ever-demanding need is filled by weal"
8fb93d43-9335-44e4-868d-dd6343884cbe,passage_boethius_cons_53_en,passage_boethius_cons_53,"Boethius, Cons. 53: Conquer Your Passions (Verse) (English)","Boethius, Cons. 53: Conquer Your Passions (Verse)",1,0.32,"Qui se volet esse potentem, animos domet ille feroces nec victa libidine colla foedis summittat habenis: etenim licet Indica longe tellus tua iura tremescat, et serviat ultima Thyl","Boethius, Consolation of Philosophy, passage 53. A verse: whoever wishes to be powerful must tame his fierce passions and not submit his conquered neck to the shameful reins of lus"
22782595-734c-4e66-8823-7df5abc4c18c,passage_boethius_cons_54_en,passage_boethius_cons_54,"Boethius, Cons. 54: Nobility and Ancestry (English)","Boethius, Cons. 54: Nobility and Ancestry",1,0.19,"Quodsi claritudinem praedicatio facit, illi sint clari necesse est, qui praedicantur; quare splendidum te, si tuam non habes, aliena claritudo non efficit. Quodsi quid est in nobil","Boethius, Consolation of Philosophy, passage 54. If renown is produced by being praised, then those who are praised must be renowned; another's fame cannot make you splendid if you"
c2524e5c-52a4-41bb-bec2-4364154be3a0,passage_boethius_cons_51_en,passage_boethius_cons_51,"Boethius, Cons. 51: Dignity's Failure (English)","Boethius, Cons. 51: Dignity's Failure",1,0.17,"ut enim paulo ante diximus, quod nihil habet proprii decoris. opinione utentium nunc splendorem accipit, nunc amittit. Si igitur reverendos facere nequeunt dignitates, si ultro imp","Boethius, Consolation of Philosophy, passage 51. What has no proper dignity of its own sometimes gains splendor and sometimes loses it through the opinion of those who use it. If d"
62df462b-550d-4ec0-b0bd-18f8e3286518,passage_boethius_cons_55_en,passage_boethius_cons_55,"Boethius, Cons. 55: Pleasure's Sting (English)","Boethius, Cons. 55: Pleasure's Sting",1,0.23,"Honestissima quidem coniugis foret liberorumque {liberorumque} iucunditas, sed nimis e natura dictum est nescio quem filios invenisse tortores; quorum quam sit mordax quaecumque co","Boethius, Consolation of Philosophy, passage 55. The delight in a most honorable wife and children would be the finest thing, but it has been said, all too truly, that someone or o"
9fe83bfc-b10a-4b8e-abd5-e96f94dc914b,passage_boethius_cons_57_en,passage_boethius_cons_57,"Boethius, Cons. 57: The Simple Good (English)","Boethius, Cons. 57: The Simple Good",1,0.3,"Hactenus mendacis formam felicitatis ostendisse suffecerit quam si perspicaciter intueris, ordo est deincepsquae {deincepsquae} sit vera. monstrare. — Atqui video, inquam, nec opib","Boethius, Consolation of Philosophy, passage 57. It has been sufficient up to this point to have shown the form of false happiness. If Boethius looks at it clearly, the next step i"
51a54cf5-3c18-4a4a-965a-35e32a02c243,passage_boethius_cons_61_en,passage_boethius_cons_61,"Boethius, Cons. 61: O God Who Governs (Verse) (English)","Boethius, Cons. 61: O God Who Governs (Verse)",1,0.29,"O qui perpetua mundum ratione gubernas, terrarum caelique {caelique} sator, qui tempus ab aevo ire iubes stabilisque {stabilisque} manens das cuncta moveri, quem non externae pepul","Boethius, Consolation of Philosophy, passage 61: Hymn to the Creator (O qui perpetua). O You who govern the world by eternal reason (perpetua ratio), Sower of heaven and earth, who"
26e1a136-71f2-4b71-acc8-e1721416fac7,passage_boethius_cons_64_en,passage_boethius_cons_64,"Boethius, Cons. 64: God is Beatitude (English)","Boethius, Cons. 64: God is Beatitude",1,0.19,"Omnino enim nullius rei natura suo principio melior poterit exsistere, quare, quod omnium principium sit, id etiam sui substantia summum esse bonum verissima ratione concluserim. —","Boethius, Consolation of Philosophy, passage 64: God is Beatitude. Nothing in nature can be better than its own principle. Since God is the principle of all things, it follows by t"
c16e0233-1ba1-48f3-aa41-9a60f1eef478,passage_boethius_cons_6_en,passage_boethius_cons_6,"Boethius, Cons. 6: The Fate of Philosophers (English)","Boethius, Cons. 6: The Fate of Philosophers",1,0.18,n Cuius hereditatem cum deinceps Epicureum vulgus ac Stoi -. cum ceterique {ceterique} pro sua quisque parte raptum ire molirentur meque {meque} reclamantem renitentemque {renitent,"Boethius, Consolation of Philosophy, passage 6: The Fate of Philosophers. Philosophy describes how, after her tradition had been established, the Epicurean mob, the Stoics, and oth"
