node_id,label,type,period,p_about_entity,description_excerpt
pub_fedou_2026_adam_time_and_tradition_temporal_thinking_in_ecclesiastes_in_the,"Michel Fédou 2026 — Adam M. F., Time and Tradition. Temporal Thinking in Ecclesiastes in the Context of Emerging Apocalypticism and the History of Ideas in the Hellenistic Period, coll. Forschungen zum Alten Testament 191, Tübingen, Mohr Siebeck, 2025, 336 p., 139,00 €. ISBN 9783161647970.",publication,Contemporary,0.01,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_taguieff_du_racisme_en_general_et_du_racisme_anti_blancs_en_part,"Michel Fédou 2026 — Taguieff P.-A., Du racisme en général et du racisme anti-Blancs en particulier, Saint-Martin-de-Londres, H&O, 2025, 192 p., 17,00 €. ISBN 9782845474338.",publication,Contemporary,0.01,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_icard_apparition_disparition_le_statut_de_la_resurrection_dans_l,"Michel Fédou 2026 — P icard J., Apparition / Disparition. Le statut de la Résurrection dans la théologie de Hans Urs von Balthasar, coll. Cerf Patrimoines, Paris, Cerf, 2025, 448 p., 44,00 €. ISBN 9782204159487.",publication,Contemporary,0.01,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_dard_dumons_dir_ordre_moral_1873_1877_royalisme_catholicisme_et,"Michel Fédou 2026 — Dard O., Dumons B. (dir.), L’ordre moral (1873-1877). Royalisme, catholicisme et conservatisme, Paris, Cerf, 2025, 432 p., 29,00 €. ISBN 9782204170031.",publication,Contemporary,0.01,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_davy_rigaux_dompnier_gomis_dir_des_musiciens_au_service_des_egli,"Michel Fédou 2026 — davy-Rigaux a., dompnier B., Gomis s. (dir.), Des musiciens au service des églises (xviie et xviiie siècles). Hommage à Sylvie Granger, Rennes, pur, 2025, 400 p., 28,00 €. isbn 9791041301331.",publication,Contemporary,0.02,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_delsol_la_tragedie_migratoire_et_la_chute_des_empires_saint_augu,"Michel Fédou 2026 — Delsol C., La tragédie migratoire et la chute des empires. Saint Augustin et nous, Paris, Odile Jacob, 2026, 208 p., 22,90€. ISBN 9782415013981.",publication,Contemporary,0.02,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_siret_nadeau_lacour_dir_marie_guyart_de_incarnation_autrement_mo,"Michel Fédou 2026 — Siret V., Nadeau-Lacour T. (dir.), Marie Guyart de l’Incarnation : « autrement moderne ». Actes du colloque de Rome (8-10 juin 2022), coll. Bibliothèque d’études guyartiennes 1, Paris, Cerf, 2025, 368 p., 34,00 €. ISBN 9782204171434.",publication,Contemporary,0.02,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_maritain_maritain_30_fifth_avenue_carnets_de_guerre_tome_1939_19,"Michel Fédou 2026 — Maritain J., Maritain R., 30, Fifth Avenue. Carnets de guerre, Tome i : 1939-1942, éd. D. et R. Mougel, M. Fourcade, préf. J.-F. Muracciole, Paris, Desclée de Brouwer, 2025, 768p., 48,00€. ISBN 9782220098654.",publication,Contemporary,0.02,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_teilhard_de_chardin_le_milieu_divin_intro_et_notes_inedites_euve,"Michel Fédou 2026 — Teilhard de Chardin P., Le Milieu divin, intro. et notes inédites F. Euvé, préf. A. Leproux, Paris, Éd. Loyola, 2026, 250 p., 22,00 €. ISBN 9782204174114.",publication,Contemporary,0.02,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_kooi_la_reforme_aux_pays_bas_1500_1620_coll_bibliotheque_de_la_r,"Michel Fédou 2026 — Kooi C., La Réforme aux Pays-Bas,1500-1620, coll. Bibliothèque de la Revue d’histoire ecclésiastique 120, Turnhout, Brepols, 2025, 230 p., 74,00 €. ISBN 9782503613376.",publication,Contemporary,0.02,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_aurens_influences_et_delires_influences_de_la_perception_interpr,"Michel Fédou 2026 — L aurens S., Influences et délires d’influences . De la perception à l’interprétation, coll. Travaux de sciences sociales 222, Genève, Librairie Droz, 2025, 232 p., 35,00 €. ISBN 9782600066204.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_capelle_dumont_emmanuel_levinas_et_le_christianisme_coll_philoso,"Michel Fédou 2026 — Capelle-Dumont P., Emmanuel Levinas et le christianisme, coll. Philosophie et Théologie, Paris, Cerf, 2025, 164 p., 18,00 €. ISBN 9782204174879.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_dart_le_diable_dans_ses_uvres_comprendre_action_invisible_du_mal,"Michel Fédou 2026 — E dart J.-B., Le diable dans ses œuvres . Comprendre l’action invisible du mal et s’en libérer, Perpignan, Artège, 2025, 468 p., 24,00 €. ISBN 9791033616801.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_henin_salvador_vermeren_dir_face_obscurantisme_woke_paris_puf_20,"Michel Fédou 2026 — hénin E., salvador x.-l., vermeren P. (dir.), Face à l’obscurantisme woke, Paris, puf, 2025, 454 p., 22,00 €. isbn 9782130849131.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_huguenin_le_je_le_nous_une_histoire_de_la_pensee_politique_des_o,"Michel Fédou 2026 — Huguenin F., Le Je & le Nous. Une histoire de la pensée politique des origines à nos jours, Paris, Cerf, 2025, 448p., 25,00€. ISBN 9782204157827.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_trublet_les_reves_dans_ancien_testament_coll_cahiers_evangile_21,"Michel Fédou 2026 — Trublet J., Les rêves dans l’Ancien Testament, coll. Cahiers Évangile 212, Paris, Cerf - Service biblique catholique évangile et vie, 2025, 64 p., 13,00 €. ISBN 9782204174503.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_collectif_le_centenaire_de_accord_poincare_cerretti_de_1924_acte,"Michel Fédou 2026 — Collectif, Le centenaire de l’accord Poincaré-Cerretti de 1924. Actes des colloques de Rome et Paris, 21 mai 2024 - 16 janvier 2025, Paris, Cerf, 2025, 230 p., 21,90 €. ISBN 9782204168069.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_karakash_marc_subtilite_et_surprises_du_plus_ancien_des_evangile,"Michel Fédou 2026 — Karakash I., Marc : subtilité et surprises du plus ancien des évangiles, préf. F. Vouga, coll. Au fil des Écritures, Lyon, Olivétan, 2025, 236 p., 16,00 €. ISBN 9782354797034.",publication,Contemporary,0.03,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
