node_id,label,type,period,language,p_language,description_excerpt
scholarly_work_andresen_1955_logos_nomos,Logos und Nomos: Die Polemik des Kelsos wider das Christentum,publication,Contemporary,de,1,Logos und Nomos: Die Polemik des Kelsos wider das Christentum
scholarly_work_haacker_1997_die_geschichtstheologie_von_rom_im_licht,Haacker 1997 — Die Geschichtstheologie von Röm 9-11 im Lichte philonischer Schriftauslegung,publication,Contemporary,de,1,Die Geschichtstheologie von Röm 9-11 im Lichte philonischer Schriftauslegung
scholarly_work_lindemann_1979_paulus_im_ltesten_christentum_das_bild_d,Lindemann 1979 — Paulus im ältesten Christentum: Das Bild des Apostels und die Rezeption der paul,publication,Contemporary,de,1,Paulus im ältesten Christentum: Das Bild des Apostels und die Rezeption der paulinischen Theologie in der frühchristlichen Literatur bis Marcion
pub_dolidze_2004_der_begriff_des_freien_willens_als_gegenstand_der_origeneischen,Tina D. Dolidze 2004 — Der Begriff des Freien Willens als Gegenstand der origeneischen Hermeneutik,publication,Contemporary,de,1,"Die Frage nach dem Begriff der Willensfreiheit in der Bibelauslegung des Origenes ist ein Aspekt seiner gesamten Freiheitslehre. Man kann wohl sagen, dass die Deutung dieser ontologisch-anthropologischen Kategorie bei de"
pub_eijk_1988_origenes_verteidigung_des_freien_willens_in_de_oratione,"Ph J. Van Der Eijk 1988 — Origenes' Verteidigung Des Freien Willens in De Oratione 6, 1-2",publication,Contemporary,de,1,"Origenes' Verteidigung Des Freien Willens in De Oratione 6, 1-2"
pub_emmenegger_2011_die_heiligen_pflichten_mussen_wir_erfullen_origenes_und_kelsos,Gregor Emmenegger 2011 — Die heiligen Pflichten müssen wir erfüllen - Origenes und Kelsos,publication,Contemporary,de,1,Die heiligen Pflichten müssen wir erfüllen - Origenes und Kelsos
pub_furst_2012_autonomie_und_menschenwurde_origenes_in_der_philosophie_der_neuz,Alfons Fürst et al. 2012 — Autonomie und Menschenwürde : Origenes in der Philosophie der Neuzeit,publication,Contemporary,de,1,Autonomie und Menschenwürde : Origenes in der Philosophie der Neuzeit
pub_furst_2017_origenes_grieche_und_christ_in_romischer_zeit,Alfons Fürst 2017 — Origenes : Grieche und Christ in römischer Zeit,publication,Contemporary,de,1,"Christ sein und Grieche bleiben – das war sozusagen das Lebens- und Arbeitsprogramm des frühchristlichen Theologen Origenes aus Alexandria (185–253/54). Als “das Wunder der christlichen Welt” gepriesen, wurde er zu einem"
pub_heither_1996_das_gebet_bei_origenes_abtei_mariendonk_47906_kempen_1996_pp_24,"Heither T. 1996 — Das Gebet bei Origenes, Abtei Mariendonk (D-47906 Kempen) 1996, pp. 24",publication,Contemporary,de,1,"[1. Gebet als Wunder. 2. Gebet als Begegnung mit dem lebendigen, personalen Gott. 3. Gebet und Vorsehung. 4. Gebet bewirkt Gemeinschaft. 5. Das Gebet erstrebt das Göttliche und Große. Das Gebet soll unabläßig sein]."
pub_klein_1894_die_freiheitslehre_des_origenes_in_ihren_ethisch_theologischen_v,Carl Klein 1894 — Die Freiheitslehre des Origenes in ihren ethisch-theologischen Voraussetzungen und Folgerungen im Zusammenhang mit der altgriechischen Ethik :Inaugural-Dissertation ... / von Carl Klein,publication,Contemporary,de,1,Die Freiheitslehre des Origenes in ihren ethisch-theologischen Voraussetzungen und Folgerungen im Zusammenhang mit der altgriechischen Ethik :Inaugural-Dissertation ... / von Carl Klein
