relation,edge_id,source_id,source_type,source_name,target_id,target_type,target_name,p_specific,p_generic,source_excerpt,target_excerpt
engages_with,b7333cc7-bfeb-49b0-b956-25aacdd39f51,scholar_jaubert_a,person,Annie Jaubert,person_fischer_john_martin_3w4x5y6z,person,John Martin Fischer,0.01,0.08,"Early Christian literature, Clement of Rome, Jewish-Christian exegesis","John Martin Fischer (né 1952). Distinguished Professor of Philosophy à UC Riverside. Compatibiliste contemporain majeur. Ouvrages : *The Metaphysics of Free Will: An Essay on Control* (Blackwell, 1994) ; *Responsibility "
evidenced_by,0eb6517a-e8a8-4d81-b395-3bd49029cac5,group_pharisees_w1x2y3z4,group,Pharisees,passage_dl_lives_1_1_22,passage,"Diogenes Laertius, Vitae Philosophorum (Lives of Eminent Philosophers), 1.1.22",0.02,0.09,"Major Jewish sect/movement active from the late 2nd century BCE to the early 2nd century CE, characterized by adherence to oral Torah tradition alongside written Scripture, table purity observance, synagogue-based religi","Ἦν τοίνυν ὁ Θαλῆς, ὡς μὲν Ἡρόδοτος καὶ Δοῦρις καὶ Δημόκριτός φασι, πατρὸς μὲν Ἐξαμύου, μητρὸς δὲ Κλεοβουλίνης, ἐκ τῶν Θηλιδῶν, οἵ εἰσι Φοίνικες, εὐγενέστατοι τῶν ἀπὸ Κάδμου καὶ Ἀγήνορος. 〈ἦν δὲ τῶν ἑπτὰ σοφῶν〉, καθὰ καὶ "
evidenced_by,88d479c6-bdaf-41f9-8545-bd3b36958211,group_pharisees_w1x2y3z4,group,Pharisees,passage_dl_lives_1_1_23,passage,"Diogenes Laertius, Vitae Philosophorum (Lives of Eminent Philosophers), 1.1.23",0.02,0.09,"Major Jewish sect/movement active from the late 2nd century BCE to the early 2nd century CE, characterized by adherence to oral Torah tradition alongside written Scripture, table purity observance, synagogue-based religi",Μετὰ δὲ τὰ πολιτικὰ τῆς φυσικῆς ἐγένετο θεωρίας. καὶ κατά τινας μὲν σύγγραμμα κατέλιπεν οὐδέν· ἡ γὰρ εἰς αὐτὸν ἀναφερομένη Ναυτικὴ ἀστρολογία Φώκου λέγεται εἶναι τοῦ Σαμίου. Καλλίμαχος δ’ αὐτὸν οἶδεν εὑρετὴν τῆς ἄρκτου τ
discusses,6f92c05d-214b-47b6-b78b-225ae30f9a9d,passage_alex_fat_25,passage,"Alexander of Aphrodisias, De Fato, 25",concept_logos_krites_alex,concept,Logos as Kritēs (Reason as Judge),0.06,0.06,πῶς γὰρ οὐ φανερῶς τὸ λέγειν ψεῦδος πᾶν τὸ ἑπόμενόν τινι ἐξ ἐκείνου τὴν αἰτίαν τοῦ εἶναι ἔχειν καὶ πᾶν τὸ προηγούμενόν τινος αἴτιον ὑπάρχειν ἐκείνῳ; ὁρῶμεν γὰρ ὅτι τὰ ἐφεξῆς ἀλλήλοις ὄντα τῷ χρόνῳ οὐ πάντα διὰ τὰ ἔμπροσθ,"ΛΌΓΟΣ ΩΣ ΚΡΙΤΉΣ (logos HŌS KRITĒS) - reason AS JUDGE Alexander's account of how human reason evaluates impressions before assent, distinguishing us from animals. External impressions (phantasiai) strike us. Reason (logos"
discusses,42bdbf23-ec4a-457f-881d-46dc9214d517,passage_aug_lib_arb_2_8_23,passage,"Augustine, De Libero Arbitrio 2.8.23: The Immutable Law of Doubles",concept_voluntas_y7z8a9b0,concept,Will (Voluntas),0.03,0.09,"Augustine demonstrates the immutable law of mathematical ratios. The double of any number follows a fixed pattern: 2 is double of 1, 4 of 2, 8 of 4 - this LAW is ""certissima et incommutabili."" Latin: Deinde quoniam tenen","**Étymologie** : *voluntas* < radical *vol-* du verbe *velle* (« vouloir »), même racine que *voluptas* (« plaisir ») (le rapprochement avec le grec βούλομαι, d'une racine distincte, est contesté). Suffixe nominal -*tas*"
discusses,d8894744-d7f9-4212-a5f1-e7ee4700c4ae,passage_aug_lib_arb_2_7_18,passage,"Augustine, De Libero Arbitrio 2.7.18: Touch - Both Can Touch Same Part",concept_voluntas_y7z8a9b0,concept,Will (Voluntas),0.02,0.1,"Augustine analyzes touch: unlike food which is consumed, both people can touch the SAME part of the SAME body simultaneously. Latin: Aug. - Num censes tangendi sensum comparandum esse oculorum et aurium sensibus in ea re","**Étymologie** : *voluntas* < radical *vol-* du verbe *velle* (« vouloir »), même racine que *voluptas* (« plaisir ») (le rapprochement avec le grec βούλομαι, d'une racine distincte, est contesté). Suffixe nominal -*tas*"
discusses,0e2417eb-d601-4466-9062-4e1e1c8a2154,passage_aug_lib_arb_2_8_21,passage,"Augustine, De Libero Arbitrio 2.8.21: Numbers Not Derived from Senses",concept_voluntas_y7z8a9b0,concept,Will (Voluntas),0.02,0.11,"Augustine tests whether numbers come from bodily sense. Evodius argues: even if we perceive numbers through senses, the RATIO (rules/reason) of numbers cannot be perceived by sense. Latin: Aug. - Recte sane; sed video te","**Étymologie** : *voluntas* < radical *vol-* du verbe *velle* (« vouloir »), même racine que *voluptas* (« plaisir ») (le rapprochement avec le grec βούλομαι, d'une racine distincte, est contesté). Suffixe nominal -*tas*"
discusses,4dbb1157-b656-496c-8137-033b0fb7486e,passage_aug_lib_arb_2_8_22,passage,"Augustine, De Libero Arbitrio 2.8.22: The Unity (UNUM) Cannot Be Sensed",concept_voluntas_y7z8a9b0,concept,Will (Voluntas),0.02,0.11,"Augustine argues that UNUM (the one/unity) cannot be perceived by bodily senses. Every sensed body has parts, but true unity is indivisible. Mathematical one is intelligible, not sensible. Latin: Aug. - Non resisto tibi ","**Étymologie** : *voluntas* < radical *vol-* du verbe *velle* (« vouloir »), même racine que *voluptas* (« plaisir ») (le rapprochement avec le grec βούλομαι, d'une racine distincte, est contesté). Suffixe nominal -*tas*"
discusses,1cc33945-da4a-4cae-a7ab-a65a02fc7de0,passage_aug_lib_arb_3_23_67,passage,"Augustine, De Libero Arbitrio 3.23.67: Infant Baptism and Faith of Others",concept_divine_prescience,concept,Divine Prescience (πρόγνωσις),0.02,0.11,"Augustine explains that infant baptism benefits the child through the faith of those who present them. Latin: Quo loco etiam illud perscrutari homines solent, sacramentum baptismi Christi quid parvulis prosit, cum eo acc","Divine Prescience (πρόγνωσις / praescientia) designates God's foreknowledge of future events, including those depending on human choice, and generates a persistent aporia: if God foreknows act X, does X occur of necessit"
discusses,685ca820-b479-4ac3-8d37-6e18d13260b8,passage_aug_lib_arb_3_23_69,passage,"Augustine, De Libero Arbitrio 3.23.69: Animal Pain Reveals Universal Desire for Unity",concept_divine_prescience,concept,Divine Prescience (πρόγνωσις),0.02,0.11,"Augustine responds to objections about animal suffering by arguing that pain reveals the soul's desire for unity, pointing to the Creator. Latin: Dolor autem quem bestiae sentiunt, animarum etiam bestialium vim quamdam i","Divine Prescience (πρόγνωσις / praescientia) designates God's foreknowledge of future events, including those depending on human choice, and generates a persistent aporia: if God foreknows act X, does X occur of necessit"
