relation,edge_id,source_id,source_type,source_name,target_id,target_type,target_name,p_specific,p_generic,source_excerpt,target_excerpt
cites_primary_source,5a33540f-864c-4dc4-982b-decbe6b14e95,argument_bobzien_2001_b1_chrysippean_modal_system,argument,Bobzien 2001 — Chrysippe construit un systeme modal preservant la contingence,passage_cic_fat_14,passage,"Marcus Tullius Cicero, De Fato, Fat. 14",0.5,0.63,"Bobzien 2001 §3.1.4 (p. 112-122) + §3.4 (p. 136-143) reconstruction of the Chrysippean modal system. Definitions: (1) the possible = that which admits truth, encountering no external obstacle to its realization; (2) the ","Etenim si illud vere conectitur: Si oriente Canicula natus es, in mari non moriere, primumque quod est in conexo: Natus es oriente Canicula, necessarium est (omnia enim vera in praeteritis necessaria sunt, ut Chrysippo p"
critiques,f08d4d63-e9fb-4781-9bd7-af82e232827e,argument_cambridge_platonist_defense_of_plastic_nature_d49aa761,argument,Cudworth's Plastic Nature Argument,concept_occasionalism_a5b6c7d8,concept,Occasionalism,0.5,0.42,"In The True Intellectual System of the Universe, Ralph Cudworth introduces 'plastic nature' as a non-conscious, instrumentally ordered principle through which natural processes are governed. The doctrine is presented to ","Developed by Cartesians (especially Malebranche) to solve mind-body interaction problem. If mind and body are heterogeneous substances, they cannot causally interact. Solution: God causes bodily events on occasion of men"
discusses,fb12e47b-cd55-4b98-aaf3-dab85ca1f97e,argument_four_case_manipulation_2p3q4r5s,argument,Four-Case Manipulation Argument,person_fischer_john_martin_3w4x5y6z,person,John Martin Fischer,0.5,0.45,"Derk Pereboom's argument against compatibilism using gradual manipulation cases. Four cases gradually transition from clear manipulation to normal determination: (1) neuroscientists manipulate, (2) conditioning manipulat","John Martin Fischer (né 1952). Distinguished Professor of Philosophy à UC Riverside. Compatibiliste contemporain majeur. Ouvrages : *The Metaphysics of Free Will: An Essay on Control* (Blackwell, 1994) ; *Responsibility "
evidenced_by,228fcc3b-fd9e-4971-89a5-5275180fc49d,argument_origen_witness_diss_problem1_prescience_amand1945,argument,Origène — Premier théologien à résoudre prescience vs libre arbitre (Amand 1945),passage_origen_philocalia_23_1,passage,"Origen, Philocalia 23.1",0.5,0.63,Amand (p. 309-311): “Origen was the first Christian theologian to envisage in its full extent the formidable difficulty that divine foreknowledge raised against the free determination of the human will.” Proposed solutio,"S'il en est ainsi, c'en est fait du jugement divin qui a été annoncé, des menaces adressées aux pécheurs pour leur apprendre leur châtiment, c'en est fait aussi des récom- penses et des béatitudes pour ceux qui se sont a"
evidenced_by,77670c6f-65e1-474d-8087-f2bae6494220,concept_autexousion_christian_freedom_u1v2w3x4,concept,Autexousion (Αὐτεξούσιον) - Christian Free Will,passage_epict_131,passage,"Epictetus, Discourses IV.1: Freedom as Autexousion - Self-Rule",0.5,0.36,"**Étymologie** : αὐτεξούσιον < αὐτο- (réflexif, « soi-même ») + ἐξουσία (« autorité, pouvoir d'agir »), terme déjà attesté dans le grec juif et profane du Iᵉʳ s. ap. J.-C. (Philon d'Alexandrie, TLG 0018) ; le sens propre",Greek: • κεῖ δέ σοι ἡ ἐλευθερία αὐτεξούσιόν τι εἶναι καὶ αὐτοδέσποτον - freedom seems to you something self-ruling and self-mastering • ὅντινα οὖν ἔστι λῦσαι καὶ ἀναγκάσαι - whomever it is possible to unbind and to force
evidenced_by,d9d57c64-ecb7-45dc-ba8c-6aa6fcce4e46,concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,concept,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν) - What is In Our Power,passage_epict_94,passage,"Epictetus, Discourses II.20: Critique of Epicurean Ethics",0.5,0.6,"**Étymologie** : τὸ ἐφ' ἡμῖν, syntagme attributif « ce qui est sur nous / en notre pouvoir » < ἐπί + datif pronom personnel 1ʳᵉ pl. Locution technique aristotélicienne (*EN* III.5) reprise par les Stoïciens et les Médio-","Greek: • οὐδὲν διοίσεις ἡμῶν τῶν λεγομένων Στωικῶν - you will differ nothing from us so-called Stoics • ἄλλα λέγομεν, ἄλλα δὲ ποιοῦμεν - we say one thing, but do another • ἐπινοεῖς Ἐπικουρείων πόλιν - do you envision an "
evidenced_by,ebe19a0e-369e-4592-b9ea-54ec11e69bd3,concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,concept,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν) - What is In Our Power,passage_plut_fat_11,passage,"Analytical dossier — Ps.-Plutarch, De fato 11: Definition of Chance (Tychē)",0.5,0.7,"**Étymologie** : τὸ ἐφ' ἡμῖν, syntagme attributif « ce qui est sur nous / en notre pouvoir » < ἐπί + datif pronom personnel 1ʳᵉ pl. Locution technique aristotélicienne (*EN* III.5) reprise par les Stoïciens et les Médio-","Greek: τὸ μέντοι κατὰ συμβεβηκός, ὅταν μὴ μόνον ἐν τοῖς ἕνεκά του γίγνηται, ἀλλὰ καὶ ἐν οἷς ἡ προαίρεσις, τότε δὴ καὶ τὸ ἀπὸ τύχης προσαγορεύεται: οἷον τὸ εὑρεῖν χρυσίον σκάπτονθ' ἵνα φυτεύσῃ... Translation: However, the"
evidenced_by,29dea0ee-9008-4c69-843e-ab6ac0cd6357,concept_heimarmene_fate_stoics_j0k1l2m3,concept,Heimarmenê (Εἱμαρμένη) - Stoic Fate,passage_cic_fat_28,passage,"Marcus Tullius Cicero, De Fato, Fat. 28",0.5,0.47,"**Étymologie** : εἱμαρμένη, participe parfait passif féminin substantivé du verbe défectif μείρομαι / εἵμαρται (« recevoir en partage, échoir »), littéralement « ce qui est départi/assigné » — d'où « le destin ». Heimarm","Nec, si omne enuntiatum aut verum aut falsum est, sequitur ilico esse causas inmutabilis, easque aeternas, quae prohibeant quicquam secus cadere, atque casurum sit; fortuitae sunt causae, quae efficiant, ut vere dicantur"
evidenced_by,970e90ba-0806-4277-8f88-ac4f2973e97d,concept_prohairesis_deliberate_choice_aristotle_c3d4e5f6,concept,Prohairesis (Προαίρεσις) - Deliberate Choice,passage_epict_65,passage,"Epictetus, Discourses III.24: Use Me As You Will, O God",0.5,0.7,"**Étymologie** : προαίρεσις < πρό- (« avant ») + αἵρεσις (« choix, prise », de αἱρέω « prendre, saisir »), littéralement « choix préalable / antérieur ». Premier emploi technique chez Aristote, *Éthique à Nicomaque* III.",Greek: • ἀνάτεινόν ποτε τὸν τράχηλον ὡς ἀπηλλαγμένος - stretch up your neck as one freed • τόλμησον ἀναβλέψας πρὸς τὸν θεὸν εἰπεῖν - dare to look up to god and say • χρῶ μοι λοιπὸν εἰς ὃ ἂν θέλῃς - use me henceforth for 
evidenced_by,4b7cb7e4-9823-413d-9a5e-f7532a5c9806,concept_voluntas_y7z8a9b0,concept,Will (Voluntas),passage_origen_com_rm_7_16_sun,passage,"Origen, Commentary on Romans VII.16: Sun Analogy (Hardening)",0.5,0.53,"**Étymologie** : *voluntas* < radical *vol-* du verbe *velle* (« vouloir »), même racine que *voluptas* (« plaisir ») (le rapprochement avec le grec βούλομαι, d'une racine distincte, est contesté). Suffixe nominal -*tas*","Origen's permissive theodicy for Pharaoh's hardening. Latin (Rufin, AGLB 34): ""Non enim Deus indurat cor Pharaonis quasi voluntatem eius ad malum impellens; sed patientia sua et longanimitate sustinens eum, PERMITTIT UT "
