relation,n,mean_p_specific,mean_p_generic,likely_wrong_both<=0.3,weak_0.3_0.7
discusses,5311,0.765,0.625,265,747
cites_primary_source,1243,0.623,0.619,58,337
evidenced_by,591,0.71,0.677,24,149
source_for,436,0.717,0.682,23,102
engages_with,302,0.262,0.343,88,83
creates,209,0.798,0.782,0,38
interprets,206,0.819,0.658,3,28
contributes_to,186,0.808,0.662,2,41
influences,158,0.369,0.529,11,45
extends,154,0.465,0.595,6,77
contains,154,0.725,0.796,0,35
critiques,122,0.691,0.556,5,18
employs,110,0.701,0.683,2,22
parallel_to,86,0.887,0.709,0,7
supports,74,0.848,0.716,1,7
same_thesis_as,54,0.841,0.773,1,8
has_position,49,0.437,0.557,2,18
participates_in,48,0.826,0.714,0,4
grounded_in,44,0.669,0.783,0,13
exemplifies,41,0.568,0.672,1,16
influenced_by,41,0.499,0.493,6,10
precedes,38,0.716,0.509,0,12
presupposes,31,0.563,0.602,1,12
