pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
argument_firmicus_witness3_envelope_amand1945__argument_firmicus_witness3_religion_useless_amand1945,argument,argument_firmicus_witness3_envelope_amand1945,"Argument-cadre du témoin n°3 Firmicus Mathesis I, 2, 5-11 — enveloppe tripartite de la diatribe antifataliste",argument_firmicus_witness3_religion_useless_amand1945,"Témoin n°3 (Firmicus Math I, 2, 8-9) — Deuxième argument : mépris des dieux et inutilité des rites",0.13,0.94,<=0.3,argument_firmicus_witness3_envelope_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 185-188, ll. 10500-10791) within Firmicus Mathesis I, 2, 5-11 (Kroll-Skutsch I p. 7 l. 8 — p. 9 l. 4). Witness no. 3 articulates three casc","Second anti-fatalist moral argument reconstructed in Firmicus Mathesis I, 2, 8-9 (Kroll-Skutsch I p. 8) by Amand 1945 (analysis p. 186, Latin text p. 187). Logical conclusion of astrological fatalism:"
pub_alberti_1999_aspasius__pub_sharples_alberti_1999_aspasius,publication,pub_alberti_1999_aspasius,Il volontario e la scelta in Aspasio,pub_sharples_alberti_1999_aspasius,Aspasius: The Earliest Extant Commentary on Aristotle's Ethics,0.08,0.94,<=0.3,pub_sharples_alberti_1999_aspasius,author_year_match;description_token_overlap,"Alberti, A. (1999). ""Il volontario e la scelta in Aspasio."" In A. Alberti & R.W. Sharples (eds.), Aspasius: The Earliest Extant Commentary on Aristotle's Ethics (Berlin: De Gruyter), pp. 107-141. Thes","Antonina Alberti and R.W. Sharples (eds.), Aspasius: The Earliest Extant Commentary on Aristotle's Ethics (Peripatoi 17; Berlin: De Gruyter, 1999), 208 pp. SIGNIFICANCE: First scholarly volume dedicat"
pub_leroux_1996_human_freedom_plotinus__scholarly_work_gerson_1996_the_cambridge_companion_to_plotinus,publication,pub_leroux_1996_human_freedom_plotinus,Leroux 1996 — Human freedom in the thought of Plotinus,scholarly_work_gerson_1996_the_cambridge_companion_to_plotinus,Gerson 1996 — The Cambridge Companion to Plotinus,0.04,0.94,<=0.3,pub_leroux_1996_human_freedom_plotinus,description_token_overlap;label_token_overlap,"Georges Leroux, 'Human freedom in the thought of Plotinus', in L.P. Gerson (ed.), The Cambridge Companion to Plotinus, Cambridge: CUP, 1996, 292-314. Chapter-length synthesis of Plotinus on freedom, d",The Cambridge Companion to Plotinus
work_augustine_confessiones_viii__work_confessions,work,work_augustine_confessiones_viii,"Augustine, Confessiones VIII (Two Wills)",work_confessions,Confessiones (Confessions),0.33,0.94,0.3-0.7,work_augustine_confessiones_viii,description_token_overlap;label_token_overlap,"Augustine of Hippo, Confessiones Book VIII (composed c. 397–401 CE) — the locus classicus of the duae voluntates ('two wills') doctrine that would reshape Western philosophical psychology. Conf. VIII.","Augustine's spiritual autobiography culminating in his conversion. Books VII-VIII particularly important for understanding his views on will, grace, and conversion through Neoplatonism and Paul's epis"
scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations__scholarly_argument_rousseau_free_will_in_gnosticism_0,argument,scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations,Gibbons: Pauline anthropology preserves conflicting motivations without making choice indeterminate,scholarly_argument_rousseau_free_will_in_gnosticism_0,Rousseau: The edition presents Irenaeus's report that Valentinian Gnostics held determinis,0.12,0.94,<=0.3,scholarly_argument_gibbons_pauline_anthropology_preserves_conflicting_motivations,description_token_overlap,"Gibbons argues that Origen's Pauline anthropology supplies the motivational architecture for universal revisability. The soul stands between spirit and flesh, so better spiritual desires and worse bod","SC 264 presents Irenaeus's report (AH I,6,1-2; I,7,5) that the Valentinians posit three elements or races — hylic, psychic, pneumatic (Cain, Abel, Seth). The hylic perishes of necessity, incapable of "
pub_furst_2019_origen_of_alexandria_christian_philosophy_of_freedom__pub_hankinson_1999_determinism,publication,pub_furst_2019_origen_of_alexandria_christian_philosophy_of_freedom,Alfons Fürst 2019 — Origen of Alexandria: Christian Philosophy of Freedom,pub_hankinson_1999_determinism,Determinism and Indeterminism,0.08,0.94,<=0.3,pub_furst_2019_origen_of_alexandria_christian_philosophy_of_freedom,description_token_overlap,"Abstract Origen of Alexandria (185–253/54) is the founder of the Christian philosophy of freedom. Drawing on both the philological and philosophical heritage of Hellenistic and Roman culture, he inven","Hankinson, R.J. (1999). ""Determinism and Indeterminism."" In K. Algra et al. (eds.), The Cambridge History of Hellenistic Philosophy (Cambridge UP), pp. 513-541. Thesis: Comprehensive survey of the anc"
sc_origenes_contra_celsum__work_origen_contra_celsum_sc132,work,sc_origenes_contra_celsum,"Origenes, Contra Celsum",work_origen_contra_celsum_sc132,"Contra Celsum (SC 132, 136, 147, 150)",0.76,0.93,0.7-0.9,sc_origenes_contra_celsum,description_token_overlap;label_token_overlap,"Origen of Alexandria (c. 185–253 CE), Contra Celsum (Κατὰ Κέλσου), eight books composed c. 248 CE at Caesarea at the request of his patron Ambrose. The longest surviving apologetic work from antiquity","Title: Against Celsus (Κατὰ Κέλσου) Author: Origen of Alexandria Date: c. 248 CE Edition: Sources Chrétiennes 132, 136, 147, 150 (Borret) Contents relevant to free will: Books III-IV: Extended defense"
pub_bobichon_2003_justin_dialogue_tryphon__scholarly_work_bobichon_2003_justin_martyr_dialogue_avec_le_tryphon_d,publication,pub_bobichon_2003_justin_dialogue_tryphon,"Bobichon, P. (2003). Justin Martyr: Dialogue avec Tryphon. Édition critique. Paradosis 47/1-2. Academic Press Fribourg.",scholarly_work_bobichon_2003_justin_martyr_dialogue_avec_le_tryphon_d,"Bobichon 2003 — Justin Martyr, Dialogue avec Tryphon, édition critique, vol. 2 (Paradosis 47/2)",0.23,0.92,<=0.3,pub_bobichon_2003_justin_dialogue_tryphon,description_token_overlap;label_token_overlap,"Reference critical edition of Justin Martyr's *Dialogue avec Tryphon* by Philippe Bobichon (Academic Press Fribourg 2003, *Paradosis* 47/1-2, 2 vols., 1146 pp. in total). Volume 1: Greek text establis","Justin Martyr, Dialogue avec Tryphon - édition critique 2"
work_consolatio_philosophiae_boethius_524ce_f1g2h3i4__work_consolation_v_boethius_524ce_x4y5z6a7,work,work_consolatio_philosophiae_boethius_524ce_f1g2h3i4,De consolatione philosophiae (Consolation of Philosophy),work_consolation_v_boethius_524ce_x4y5z6a7,Consolation of Philosophy Book V - Boethius,0.64,0.92,0.3-0.7,work_consolatio_philosophiae_boethius_524ce_f1g2h3i4,description_token_overlap;label_token_overlap,"Author: Anicius Manlius Severinus Boethius
Date: 524 CE (written in prison awaiting execution)
Language: Latin
Form: Prosimetrum (alternating prose and verse)
Structure: 5 Books, prosimetrum alternati","The Consolation of Philosophy (De Consolatione Philosophiae) is Boethius' masterpiece, written in prison while awaiting execution. A dialogue between Boethius and personified Philosophy, it addresses "
pub_moreschini_2002_critica_all_apocatastasi_origeniana_in_massimo_il_confessore_in__pub_perrone_2000_provvidenza_origene_dizionario_la_cultura_il_pensiero_le_opere_c,publication,pub_moreschini_2002_critica_all_apocatastasi_origeniana_in_massimo_il_confessore_in,"Moreschini C. 2002 — Critica all`apocatastasi origeniana in Massimo il Confessore, in«Millennium»: L`attesa della fine nei primi secoli cristiani. Atti delle III Giornate Patristiche Torinesi, Torino 23-24 ottobre 2000, a cura di R. Uglione",pub_perrone_2000_provvidenza_origene_dizionario_la_cultura_il_pensiero_le_opere_c,"Perrone L. 2000 — Provvidenza, Origene. Dizionario: la cultura, il pensiero, le opere, a cura di A. Monaci Castagno",0.16,0.92,<=0.3,pub_perrone_2000_provvidenza_origene_dizionario_la_cultura_il_pensiero_le_opere_c,description_token_overlap;label_token_overlap,"[1. L`enade e la protologia. 2. Per una lettura dell`ambiguum 7. 3. Interpretazioni critiche. / «In conclusione, se la divinizzazione di tutti gli uomini è voluta continuamente da Dio, anche prima del",[1. Provvidenza come piano salvifico di Dio per gli uomini. 2. La prescienza divina come presupposto dell`economia provvidenziale e il suo rapporto col libero arbitrio].
